,명사,빈도
0,휴먼,3
1,아이디,11
2,사람,301
3,공식,66
4,경기,164
5,매칭,1716
6,생각,255
7,연속,29
8,상대,169
9,뭐,143
10,식이,1
11,던데,4
12,동일인,2
13,시대,3
14,정무,24
15,형님,15
16,제발,43
17,핑,125
18,끼리,159
19,패키지,18
20,탑,10
21,할인,2
22,나발,10
23,그냥,194
24,달,28
25,오만원,1
26,꼬라박,1
27,게임,573
28,움짤,1
29,포함,11
30,리그,82
31,단계,9
32,실패,14
33,실점,6
34,장면,10
35,분석,8
36,결선,6
37,진출,2
38,오늘,31
39,트로피,4
40,획득,1
41,시작,73
42,마자,1
43,패스,71
44,미스,3
45,에투,4
46,골,45
47,공,25
48,유형,8
49,요,58
50,이후,30
51,스피드,1
52,때문,136
53,수비,107
54,아예,22
55,포기,11
56,상황,87
57,막,10
58,방법,36
59,듯,23
60,직후,4
61,코너킥,4
62,운,12
63,세컨볼,2
64,추격,3
65,고질,1
66,문제,126
67,결정,19
68,부족,3
69,후,65
70,역습,8
71,침투,53
72,예측,2
73,커서,32
74,먼저,19
75,잡고,25
76,중앙,1
77,변환,1
78,타이밍,12
79,갑자기,21
80,횡,3
81,명,60
82,바람,4
83,적,21
84,컷,14
85,마지막,19
86,패널,5
87,슬태,1
88,반박,25
89,거,148
90,최근,19
91,자주,36
92,패턴,3
93,부분,52
94,정말,32
95,감사,2
96,공격,38
97,추가,35
98,따윈,2
99,싹,9
100,측면,7
101,토,10
102,슛,35
103,위해,48
104,전술,57
105,루니,1
106,윙,6
107,배치,21
108,크라우치,2
109,키,988
110,수비수,8
111,일부러,7
112,투입,5
113,뚝배기,1
114,결과,23
115,득점,8
116,번의,2
117,기회,8
118,더,186
119,원인,3
120,불어,2
121,패,79
122,마감,5
123,컴퓨터,21
124,보상,55
125,제한,11
126,경고,2
127,아침,4
128,일찍,1
129,계속,92
130,레만,1
131,승급,20
132,전도,1
133,벽,6
134,크게,18
135,연구,5
136,알,45
137,피파,306
138,진심,15
139,인정,31
140,터,13
141,무늬,2
142,글,92
143,내용,31
144,욕설,4
145,비방,2
146,댓글,22
147,무조,1
148,껀,3
149,신고,5
150,요즘,34
151,분리,822
152,이야기,20
153,보드,893
154,패드,1058
155,상관,10
156,나이,15
157,해주,6
158,잼민,5
159,안,73
160,클럽,354
161,전,103
162,카톡,16
163,방,53
164,서로,47
165,관심,10
166,신분,9
167,공유,10
168,한번,57
169,구합,46
170,니,84
171,가입,71
172,조건,20
173,만,42
174,세,35
175,디스,42
176,코드,52
177,참여,94
178,가능,102
179,공지,19
180,소통,60
181,카카오,64
182,톡,91
183,오픈,41
184,채팅,55
185,기부,21
186,주간,10
187,아이콘,60
188,로드,31
189,특징,19
190,활발,18
191,토너먼트,33
192,통해,30
193,소정,16
194,상품,16
195,지급,21
196,내전,41
197,자유,32
198,말씀,49
199,팀,268
200,도움,35
201,관련,50
202,사항,62
203,부캐,85
204,원,21
205,프로,86
206,린저,29
207,유저,683
208,층,24
209,포인트,20
210,현재,46
211,내부,16
212,리그전,32
213,대회,42
214,진행중,18
215,신규,46
216,가입자,16
217,문의,63
218,필수,40
219,실행,27
220,검색,33
221,의방,25
222,양식,16
223,웹,16
224,링크,17
225,온라인,28
226,렙,5
227,연승,43
228,단일,5
229,슈챔,67
230,도전,8
231,진짜,166
232,지옥,5
233,중,63
234,이기,51
235,점,189
236,지면,22
237,방금,6
238,다가,14
239,연패,40
240,멘탈,11
241,슈챌,56
242,챔스,155
243,가면,14
244,슈챌가,1
245,반복,13
246,가끔,24
247,내지,2
248,억,18
249,어제,15
250,강등,30
251,건,42
252,처음,45
253,정도,130
254,레이,8
255,팅,5
256,난리,7
257,스,10
258,그게,27
259,채은,1
260,레전드,5
261,매치,31
262,홍행,1
263,취소,18
264,유임,2
265,초대권,1
266,만석,1
267,기네,2
268,트레블,1
269,링,2
270,추진,2
271,라싱,2
272,측,6
273,런,2
274,초창,7
275,기,24
276,그룹,6
277,설득,1
278,투자,14
279,약속,3
280,막상,8
281,한국,152
282,진행,29
283,노쇼,1
284,날,26
285,기업,10
286,역량,1
287,늘,6
288,사건,10
289,판,130
290,한판,26
291,잔류,19
292,맛,13
293,안나,6
294,부,92
295,계정,14
296,금카,14
297,티어,354
298,만하,10
299,꼭,28
300,섭종,26
301,개인,41
302,지금,138
303,엔진,15
304,사실,49
305,얘,10
306,피시방,13
307,점유,13
308,율,15
309,도,107
310,의심,4
311,드,8
312,내일,2
313,구단,116
314,가치,147
315,거지,17
316,내,172
317,바램,1
318,거기,16
319,비례,4
320,점수,96
321,가지,39
322,원리,1
323,절대,36
324,무조건,26
325,모먼트,46
326,도배,7
327,레벨,14
328,카,29
329,만남,14
330,랜덤,31
331,시스템,97
332,놨음,1
333,제로,6
334,이제,47
335,당,2
336,승격,33
337,눈,15
338,보이,12
339,놀,1
340,등급,11
341,위,60
342,피로,5
343,확,7
344,시즌,140
345,기간,4
346,짓,6
347,공경,113
348,점점,14
349,매우,11
350,친구,33
351,세번,3
352,마이너,1
353,스임,2
354,겜,118
355,무고,1
356,느낌,47
357,나만듬,1
358,친선,49
359,인물,17
360,이듬,2
361,인간,11
362,실력,87
363,안보,9
364,체감,49
365,차넥,1
366,해도,57
367,감모,57
368,인겜,1
